tw_s,tw_e,spring,summer,fall,peak_s,peak_w
0,1,75,75,78.8,FALSE,FALSE
1,2,75,75,78.8,FALSE,FALSE
2,3,75,75,78.8,FALSE,FALSE
3,4,75,75,78.8,FALSE,FALSE
4,5,75,75,78.8,FALSE,FALSE
5,6,75,75,78.8,FALSE,FALSE
6,7,75,75,78.8,FALSE,FALSE
7,8,75,75,78.8,FALSE,FALSE
8,9,89.2,118.5,116.8,FALSE,FALSE
9,10,89.2,118.5,154.1,FALSE,TRUE
10,11,89.2,118.5,154.1,FALSE,TRUE
11,12,109,181.4,154.1,TRUE,TRUE
12,13,89.2,118.5,116.8,FALSE,FALSE
13,14,109,181.4,116.8,TRUE,FALSE
14,15,109,181.4,116.8,TRUE,FALSE
15,16,109,181.4,116.8,TRUE,FALSE
16,17,109,181.4,154.1,TRUE,TRUE
17,18,109,181.4,154.1,TRUE,TRUE
18,19,89.2,118.5,154.1,FALSE,TRUE
19,20,89.2,118.5,116.8,FALSE,FALSE
20,21,89.2,118.5,116.8,FALSE,FALSE
21,22,89.2,118.5,116.8,FALSE,FALSE
22,23,75,75,78.8,FALSE,FALSE
23,24,75,75,78.8,FALSE,FALSE
