,u1
"(9, '축구장')",0.0
"(5, '동물실험동')",0.0
"(16, '신재생에너지동')",0.0
"(6, 'LG도서관')",0.0
"(13, '학생회관')",0.0
"(13, '학사과정')",0.0
"(13, '자연과학동')",0.0
"(9, '산업협력관')",0.0
"(16, '삼성환경동')",0.0
"(7, '중앙창고')",0.0
"(2, '중앙연구기기센터')",0.0
"(12, '기숙사 B동')",0.0
"(23, '기숙사 B동')",0.0
"(1, '축구장')",0.0
"(13, '동물실험동')",0.0
"(3, '시설관리동')",0.0
"(14, '시설관리동')",0.0
"(7, '중앙도서관')",0.0
"(1, '산업협력관')",0.0
"(8, '대학C동')",0.0
"(19, '대학C동')",0.0
"(16, '학생회관')",0.0
"(21, '중앙연구기기센터')",0.0
"(20, '축구장')",0.0
"(16, '학사과정')",0.0
"(16, '자연과학동')",0.0
"(17, '다산빌딩')",0.0
"(4, '기숙사 B동')",0.0
"(6, '학생회관')",0.0
"(20, '산업협력관')",0.0
"(16, '동물실험동')",0.0
"(6, '자연과학동')",0.0
"(8, 'LG도서관')",0.0
"(19, 'LG도서관')",0.0
"(0, '대학C동')",0.0
"(11, '대학C동')",0.0
"(12, '축구장')",0.0
"(23, '축구장')",0.0
"(8, '신재생에너지동')",0.0
"(19, '신재생에너지동')",0.0
"(9, '다산빌딩')",0.0
"(8, '중앙창고')",0.5
"(19, '중앙창고')",0.0
"(12, '산업협력관')",0.0
"(23, '산업협력관')",0.0
"(8, '삼성환경동')",0.0
"(19, '삼성환경동')",-0.5
"(5, '중앙연구기기센터')",0.0
"(15, '기숙사 B동')",0.0
"(8, '중앙도서관')",0.0
"(19, '중앙도서관')",0.0
"(0, 'LG도서관')",0.0
"(11, 'LG도서관')",0.0
"(6, '시설관리동')",0.0
"(1, '다산빌딩')",0.0
"(4, '축구장')",0.0
"(22, '대학C동')",0.0
"(0, '신재생에너지동')",0.0
"(11, '신재생에너지동')",0.0
"(1, 'LG도서관')",0.0
"(8, '학생회관')",0.0
"(13, '중앙연구기기센터')",0.0
"(19, '학생회관')",0.0
"(8, '학사과정')",0.0
"(8, '자연과학동')",0.0
"(19, '학사과정')",0.0
"(4, '산업협력관')",0.0
"(0, '삼성환경동')",0.0
"(11, '삼성환경동')",0.0
"(2, '중앙창고')",0.0
"(20, '다산빌딩')",0.0
"(7, '기숙사 B동')",0.0
"(18, '기숙사 B동')",0.0
"(8, '동물실험동')",0.0
"(19, '동물실험동')",0.0
"(2, '중앙도서관')",0.0
"(3, '대학C동')",0.0
"(14, '대학C동')",0.0
"(21, '중앙창고')",0.0
"(0, '학생회관')",0.0
"(11, '학생회관')",0.0
"(16, '중앙연구기기센터')",0.0
"(15, '축구장')",0.0
"(0, '학사과정')",0.0
"(0, '자연과학동')",0.0
"(11, '학사과정')",0.0
"(11, '자연과학동')",0.0
"(22, '신재생에너지동')",0.0
"(17, '시설관리동')",0.0
"(21, '중앙도서관')",0.0
"(12, '다산빌딩')",0.0
"(23, '다산빌딩')",0.0
"(22, '중앙창고')",0.0
"(1, '학생회관')",0.0
"(15, '산업협력관')",0.0
"(0, '동물실험동')",0.0
"(11, '동물실험동')",0.0
"(1, '자연과학동')",0.0
"(22, '중앙도서관')",0.0
"(3, 'LG도서관')",0.0
"(14, 'LG도서관')",0.0
"(7, '축구장')",0.0
"(18, '축구장')",0.0
"(3, '신재생에너지동')",0.0
"(14, '신재생에너지동')",0.0
"(9, '시설관리동')",0.0
"(20, '자연과학동')",0.0
"(4, '다산빌딩')",0.0
"(22, '학사과정')",0.0
"(3, '중앙창고')",0.0
"(14, '중앙창고')",0.0
"(7, '산업협력관')",0.0
"(18, '산업협력관')",0.0
"(3, '삼성환경동')",0.0
"(14, '삼성환경동')",0.0
"(10, '기숙사 B동')",0.0
"(3, '중앙도서관')",0.0
"(14, '중앙도서관')",0.0
"(22, '동물실험동')",0.0
"(1, '시설관리동')",0.0
"(6, '대학C동')",0.0
"(3, '학생회관')",0.0
"(8, '중앙연구기기센터')",0.0
"(14, '학생회관')",0.0
"(19, '중앙연구기기센터')",0.0
"(3, '학사과정')",0.0
"(3, '자연과학동')",0.0
"(14, '학사과정')",0.0
"(20, '시설관리동')",0.0
