,dl,db,vl,vb,soc,dc
0,5426.75,0.0,0.0,0.0,0.5,0.0
1,5387.81,0.0,0.0,0.0,0.5,0.0
2,5376.11,0.0,0.0,0.0,0.5,0.0
3,5331.97,0.0,0.0,0.0,0.5,0.0
4,5405.54,0.0,0.0,0.0,0.5,0.0
5,5528.28,0.0,0.0,0.0,0.5,0.0
6,5658.5271,0.0,1.0,10.0,0.5,0.0
7,5857.91,206.6728,1.0,25.0,0.5128,0.0
8,6000.8424,0.0,55.0,0.0,0.8,0.0
9,5975.4065,0.0,238.0,0.0,0.8,0.0
10,6045.4341,0.0,325.0,0.0,0.8,0.0
11,5763.0169,0.0,504.0,0.0,0.8,250.0
12,6449.0538,125.8572,83.0,143.0,0.4667,0.0
13,5558.9048,0.0,808.0,0.0,0.8,200.0
14,5528.3064,0.0,804.0,0.0,0.5333,250.0
15,5852.211,0.0,695.0,0.0,0.2,0.0
16,6014.7839,0.0,426.0,0.0,0.2,0.0
17,5932.7248,0.0,410.0,0.0,0.2,0.0
18,6088.6117,0.0,157.0,0.0,0.2,0.0
19,6022.6026,0.0,20.0,0.0,0.2,0.0
20,5944.55,0.0,0.0,0.0,0.2,0.0
21,5837.97,0.0,0.0,0.0,0.2,0.0
22,5467.36,0.0,0.0,0.0,0.2,250.0
23,5306.09,0.0,0.0,0.0,0.5,250.0
