,dl,vl,db,vb,dc,soc
0,5416.3015,10.0,0.0,0.0,0.0,0.5
1,5377.3615,10.0,0.0,0.0,0.0,0.5
2,5365.6615,10.0,0.0,0.0,0.0,0.5
3,5321.5215,10.0,0.0,0.0,0.0,0.5
4,5394.7005,11.0,0.0,0.0,0.0,0.5
5,5517.4405,11.0,0.0,0.0,0.0,0.5
6,5647.864,11.0,0.0,0.0,0.0,0.5
7,5756.693,103.0,241.9355,0.0,0.0,0.8
8,5934.49,121.0,0.0,0.0,0.0,0.8
9,5894.126,319.0,0.0,0.0,0.0,0.8
10,5952.638,418.0,0.0,0.0,0.0,0.8
11,5844.947,422.0,0.0,0.0,250.0,0.4667
12,5838.376,693.0,268.8172,0.0,0.0,0.8
13,5696.013,671.0,0.0,0.0,200.0,0.5333
14,5938.839,393.0,0.0,0.0,250.0,0.2
15,5888.505,658.0,0.0,0.0,0.0,0.2
16,5857.452,583.0,0.0,0.0,0.0,0.2
17,5954.087,389.0,0.0,0.0,0.0,0.2
18,6098.055,147.0,0.0,0.0,0.0,0.2
19,6018.443,24.0,0.0,0.0,0.0,0.2
20,5934.1025,10.0,0.0,0.0,0.0,0.2
21,5827.5225,10.0,0.0,0.0,0.0,0.2
22,5689.4125,10.0,0.0,0.0,0.0,0.2
23,5528.1425,10.0,241.9355,0.0,0.0,0.5
