,축구장_시간당발전량,학생회관_시간당발전량,중앙창고_시간당발전량,학사과정_시간당발전량,다산빌딩_시간당발전량,시설관리동_시간당발전량,대학C동_시간당발전량,동물실험동_시간당발전량,중앙도서관_시간당발전량,LG도서관_시간당발전량,신재생에너지동_시간당발전량,삼성환경동_시간당발전량,중앙연구기기센터_시간당발전량,산업협력관_시간당발전량,기숙사 B동_시간당발전량,자연과학동_시간당발전량
2904,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2905,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2906,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2907,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.8454999999999997
2909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.8454999999999997
2910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.994000000000016,0.0,0.2,0.0,0.0,0.9119999999999996
2911,5.0,2.1,1.3,0.0,1.1,4.8,0.0,2.2,1.5,1.9,4.6,3.0,5.4,6.0,2.4,61.35699999999999
2912,9.3,3.4,2.0,1.9,2.3,8.2,0.0,3.3,2.4,3.2,10.787999999999988,4.7,8.7,9.3,3.9,47.90199999999999
2913,37.4,11.4,7.9,6.1,8.5,30.2,0.0,10.2,7.5,10.0,20.867,14.9,27.3,28.1,11.9,86.89699999999999
2914,41.5,18.6,13.7,6.7,11.3,56.3,0.0,11.1,11.5,13.7,23.293000000000006,20.0,35.6,30.8,12.1,112.04900000000004
2915,73.3,14.8,9.9,6.6,11.2,46.6,0.0,13.1,9.4,12.5,21.471,18.9,32.7,34.8,13.2,103.35200000000006
2916,129.7,33.1,23.4,6.4,27.9,101.7,0.0,23.8,24.0,38.3,33.402,49.0,42.9,44.7,12.4,102.67200000000008
2917,87.7,23.2,18.6,12.7,25.9,65.6,0.0,23.9,23.5,29.9,41.709,37.9,60.8,67.0,32.3,120.02800000000003
2918,44.9,13.5,8.4,8.0,12.2,37.7,0.0,13.2,10.2,13.7,22.647999999999996,20.1,36.9,38.6,15.9,97.48300000000005
2919,86.3,24.8,15.3,14.2,25.3,79.4,1.352,25.6,20.7,28.9,45.22199999999999,40.9,75.5,74.1,0.4,100.26100000000002
2920,61.8,19.3,10.6,10.5,21.8,64.4,0.0,20.6,17.0,22.5,36.97099999999998,33.1,61.1,59.7,25.5,118.08700000000007
2921,33.5,11.8,5.1,6.5,15.3,42.8,0.0,14.2,11.6,11.6,24.33600000000001,22.4,42.0,39.7,18.0,90.14700000000002
2922,8.5,1.1,0.6,2.1,5.3,15.2,0.0,5.7,4.9,3.8,11.156999999999998,8.5,16.5,16.2,6.9,40.928
2923,0.0,0.0,0.0,0.0,0.2,0.0,0.004,0.0,0.1,0.0,9.994000000000016,0.0,0.0,0.7,0.1,12.809
2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.994000000000016,0.0,0.0,0.0,0.0,0.4535
